UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS
fc20dded-c828-4596-ba1c-251fc002d298,[176-375] Lincolnshire Inquest UTF8.txt,"176 Herbert de Gresseby, former collector of wool in Lincolnshire, falsely and maliciously took for his own use more than 1 lb of wool for each stone of wool weighed, more than 4 stones of wool for each sack weighed, the fleece and also 6d for each acquittance. The gatekeepers of the [customs] house took a large amount of silver from the vills to enter and leave and also for carriage of the wool to the impoverishment of the people of £100.",char-offset:0,EVENT,,,,,,,,,
9869afc8-23c0-40d9-b576-e17d19d403ff,[176-375] Lincolnshire Inquest UTF8.txt,Herbert de Gresseby,char-offset:4,PERSON,,,,,,,,,
4be7d2b2-4dec-41b6-a768-5e90ccfaa0e2,[176-375] Lincolnshire Inquest UTF8.txt,Lincolnshire,char-offset:53,PLACE,http://geo-kima.org/place/7074,Lincolnshire (England),,,,,UNVERIFIED,,
c29b54c0-7478-42d1-a507-e3248e565cb8,[176-375] Lincolnshire Inquest UTF8.txt,"177 Robert de Ellerton, deputy of Walter de Mauny, former admiral, in 12 Edward III at Saltfleet Haven seized the boats of the fishermen and took them to Yarmouth, where he kept them until they paid a fine of 22 marks. Damages of more than £40. [See 16 above.]",char-offset:444,EVENT,,,,,,,,,
e213e264-61fc-4bae-a182-3c002fe0e6f1,[176-375] Lincolnshire Inquest UTF8.txt,Robert de Ellerton,char-offset:448,PERSON,,,,,,,,,
e71005eb-591b-43df-9065-ddf5b5288d34,[176-375] Lincolnshire Inquest UTF8.txt,Walter de Mauny,char-offset:478,PERSON,,,,,,,,,
300f9876-2bed-4cdd-a930-a83fdfbfd663,[176-375] Lincolnshire Inquest UTF8.txt,Edward III,char-offset:517,PERSON,,,,,,,,,
4204a30e-4e1a-41bd-baec-71f29fd0cf60,[176-375] Lincolnshire Inquest UTF8.txt,Saltfleet Haven,char-offset:531,PLACE,,,,,,,NOT_IDENTIFIABLE,,
cab98389-faf8-45b7-8e37-277a4c75630c,[176-375] Lincolnshire Inquest UTF8.txt,Yarmouth,char-offset:598,PLACE,http://sws.geonames.org/6185217,Yarmouth,,43.83345,-66.11557,,UNVERIFIED,,
d0779154-42ff-4959-9fee-269c02bf8ea2,[176-375] Lincolnshire Inquest UTF8.txt,178 Alexander Hermod of Bicker in 5 Edward III feloniously broke into the house of Thomas Alliche of Bicker and stole woollen and linen cloth (40s).,char-offset:705,EVENT,,,,,,,,,
