"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"966c7960-223d-4536-8dec-1a9770c8b42b","[911-1112] Lincolnshire Inquest UTF8.txt","912 Gilbert Ledered, escheator, with others, extorted 20 marks from Richard son of Daniel de Quadring, Thomas Passemere and others after charging that they held their lands in Quadring from the king in chief and had alienated them without royal license, when they held them from the earl of Richmond. [See 234 and 290 above and 975 below.]","char-offset:0","EVENT","","","","","","","","",""
"a0ce81b2-354b-4c8c-84f3-3ee6358432bf","[911-1112] Lincolnshire Inquest UTF8.txt","Gilbert Ledered","char-offset:4","PERSON","","","","","","","","",""
"021124ef-eb1a-4c23-a892-2295a5773373","[911-1112] Lincolnshire Inquest UTF8.txt","Richard","char-offset:68","PERSON","","","","","","","","",""
"ee6d7762-9eb8-414d-8b61-0f362e1e1af6","[911-1112] Lincolnshire Inquest UTF8.txt","Daniel de Quadring","char-offset:83","PERSON","","","","","","","","",""
"24b2ae61-35ab-4962-8ce1-22dd9690ef89","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas Passemere","char-offset:103","PERSON","","","","","","","","",""
"1556b365-4106-4a3d-ae0b-0431b3429108","[911-1112] Lincolnshire Inquest UTF8.txt","Quadring","char-offset:176","PLACE","","","","","","","UNVERIFIED","",""
"fa774c3d-bbae-4edc-a676-dfd42fcd8f17","[911-1112] Lincolnshire Inquest UTF8.txt","Richmond","char-offset:291","PLACE","http://sws.geonames.org/962330","Richmond","","-29.87196","30.27235","","UNVERIFIED","",""
"771dce8d-828c-436e-bfc3-41fbd68acc9f","[911-1112] Lincolnshire Inquest UTF8.txt","913 Walter Godewyn of Leake on 15 Sept. 1337 extorted 40d from William Wyles of Leake.","char-offset:340","EVENT","","","","","","","","",""
"86bf39bd-1c17-4661-a1e9-52f65e5e1117","[911-1112] Lincolnshire Inquest UTF8.txt","Walter Godewyn","char-offset:344","PERSON","","","","","","","","",""
"8d356886-3f5b-4164-903a-0beca3ff1cbe","[911-1112] Lincolnshire Inquest UTF8.txt","Leake","char-offset:362","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"fa0c9906-5f33-4768-9770-5dab67a28d5c","[911-1112] Lincolnshire Inquest UTF8.txt","William Wyles","char-offset:403","PERSON","","","","","","","","",""
"37e0d87c-39fa-4ef0-a621-cd6dcd7eae87","[911-1112] Lincolnshire Inquest UTF8.txt","Leake","char-offset:420","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"4986f4e1-416a-4deb-8950-d88784cc0db7","[911-1112] Lincolnshire Inquest UTF8.txt","914 The same Walter on the same day extorted 5s from Richard son of Isabel de Le vert on.","char-offset:427","EVENT","","","","","","","","",""
"7efb7c98-963b-4693-b7f3-ee681dd55030","[911-1112] Lincolnshire Inquest UTF8.txt","Walter","char-offset:440","PERSON","","","","","","","","",""
"1109fe17-6560-4d38-be2b-cc321d00a2ef","[911-1112] Lincolnshire Inquest UTF8.txt","Richard","char-offset:480","PERSON","","","","","","","","",""
"c2484735-533e-4f9f-90bb-339e77bd41b1","[911-1112] Lincolnshire Inquest UTF8.txt","Isabel de Le vert","char-offset:495","PERSON","","","","","","","","",""
"6c9cfce1-cc6a-4ad4-b8a1-bf036fa67c23","[911-1112] Lincolnshire Inquest UTF8.txt","915 The same Walter on the same day at Leake extorted 40d from Robert son of Benedict Bust of Leverton.","char-offset:517","EVENT","","","","","","","","",""
"a0a95747-5021-436a-898c-b30282e832c1","[911-1112] Lincolnshire Inquest UTF8.txt","Walter","char-offset:530","PERSON","","","","","","","","",""
"94c33bf8-9a47-4dd0-8bdd-a414c4c4482b","[911-1112] Lincolnshire Inquest UTF8.txt","Leake","char-offset:556","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"12bfc7ad-4963-4f91-8c7e-6718c272bd34","[911-1112] Lincolnshire Inquest UTF8.txt","Robert","char-offset:580","PERSON","","","","","","","","",""
"2f2f45b0-b64b-46e6-9484-f90dae48387e","[911-1112] Lincolnshire Inquest UTF8.txt","Benedict Bust of Leverton","char-offset:594","PERSON","","","","","","","","",""
"f5109d3c-b308-4ba2-af3a-6c54236767df","[911-1112] Lincolnshire Inquest UTF8.txt","Leverton","char-offset:611","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"be9ef71f-e711-49d1-869f-3c05f8673628","[911-1112] Lincolnshire Inquest UTF8.txt","916 The same [Walter] on the same day extorted 18d from John son of Richard son of Henry de Leverton and is a common extortioner.","char-offset:621","EVENT","","","","","","","","",""
"d1e80284-0133-4b03-a406-c14eafe9bf65","[911-1112] Lincolnshire Inquest UTF8.txt","Walter","char-offset:635","PERSON","","","","","","","","",""
"e4856c5d-3b82-4162-ba9b-aeb28b3575e2","[911-1112] Lincolnshire Inquest UTF8.txt","John","char-offset:677","PERSON","","","","","","","","",""
"baadd171-92c5-4b78-95ef-f18547c85d7a","[911-1112] Lincolnshire Inquest UTF8.txt","Richard","char-offset:689","PERSON","","","","","","","","",""
"a654bfa9-e199-43d7-b7b6-050cea494571","[911-1112] Lincolnshire Inquest UTF8.txt","Henry de Leverton","char-offset:704","PERSON","","","","","","","","",""
"fd9167c9-1e72-4757-ae16-8273d1c8776b","[911-1112] Lincolnshire Inquest UTF8.txt","917 William de Shilyngton of Boston shipped 200 sacks of wool across the sea, under whose name and to whom is found in the rolls of the customs officials.","char-offset:751","EVENT","","","","","","","","",""
"89cda27f-ddc5-4f52-92d0-e56b526c7e06","[911-1112] Lincolnshire Inquest UTF8.txt","William de Shilyngton","char-offset:755","PERSON","","","","","","","","",""
"c284bed2-70a2-47e3-92dc-bd30551c4d01","[911-1112] Lincolnshire Inquest UTF8.txt","Boston","char-offset:780","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","",""
"8db91be5-86fe-4a66-a8c4-a1290d567130","[911-1112] Lincolnshire Inquest UTF8.txt","918 Sir Thomas de Multon of Kirton in Holland took 8d a year from John son of Ralph de Fosdyk and William and Ralph his sons and John Cruu to maintain and aid them in their actions.","char-offset:906","EVENT","","","","","","","","",""
"6bb55b3d-7351-4a91-bb50-1da71ad4a8f7","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas de Multon","char-offset:914","PERSON","","","","","","","","",""
"e45d953b-7cd3-4942-a9b9-ddc4b8d9ad9e","[911-1112] Lincolnshire Inquest UTF8.txt","Kirton","char-offset:934","PLACE","http://sws.geonames.org/2645181","Kirton","","52.92774","-0.06008","","VERIFIED","",""
"36a06873-c997-44d6-96c7-9551bb262078","[911-1112] Lincolnshire Inquest UTF8.txt","John","char-offset:972","PERSON","","","","","","","","",""
"78f7164a-e8ba-4030-82dc-56990f0da999","[911-1112] Lincolnshire Inquest UTF8.txt","Ralph de Fosdyk","char-offset:984","PERSON","","","","","","","","",""
"f0c0cce7-6df9-459a-99a4-4be31aed22a3","[911-1112] Lincolnshire Inquest UTF8.txt","William","char-offset:1004","PERSON","","","","","","","","",""
"c1539512-310c-4eb9-bd59-41daa6e33ea1","[911-1112] Lincolnshire Inquest UTF8.txt","Ralph","char-offset:1016","PERSON","","","","","","","","",""
"ecbb6853-c9e4-468a-ab4c-3fe831c6ca47","[911-1112] Lincolnshire Inquest UTF8.txt","John Cruu","char-offset:1035","PERSON","","","","","","","","",""
"7e0daf48-5596-4987-bda2-d901cd154bae","[911-1112] Lincolnshire Inquest UTF8.txt","919 Gilbert Ledered, when he was escheator, on 9 March 1337 at Boston unjustly took 30s from Thomas Dilham of Boston for his own use.","char-offset:1088","EVENT","","","","","","","","",""
"9cee0538-7a26-4f77-8b11-514ba3d76bb7","[911-1112] Lincolnshire Inquest UTF8.txt","Gilbert Ledered","char-offset:1092","PERSON","","","","","","","","",""
"ffb9ddda-076c-4096-adc3-132243a5e513","[911-1112] Lincolnshire Inquest UTF8.txt","Boston","char-offset:1151","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","",""
"f1925ec6-8eb9-4d57-994d-15609e348bd0","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas Dilham","char-offset:1181","PERSON","","","","","","","","",""
"ed9b3104-140e-4342-ad66-254c146e0a0f","[911-1112] Lincolnshire Inquest UTF8.txt","Boston","char-offset:1198","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","",""
"51345180-d50c-4cc4-b0a1-9e6ce9c26ca6","[911-1112] Lincolnshire Inquest UTF8.txt","920 The same Gilbert on 13 Jan. 1337 at Boston unjustly took 60s from Robert de Derby by falsely charging that Lucy de Farford, Robert’s relative, was fit (‘idonea’).","char-offset:1222","EVENT","","","","","","","","",""
"f3026ca1-dde5-4a58-a9aa-39ee06b6701d","[911-1112] Lincolnshire Inquest UTF8.txt","Gilbert","char-offset:1235","PERSON","","","","","","","","",""
"369acd53-6521-4888-aecf-18abbfd73ccd","[911-1112] Lincolnshire Inquest UTF8.txt","Boston","char-offset:1262","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","",""
"d324f4e3-7abf-49e0-a524-d8f79ca7e268","[911-1112] Lincolnshire Inquest UTF8.txt","Robert de Derby","char-offset:1292","PERSON","","","","","","","","",""
"49c24a1b-029e-4727-8208-4fe228b208cb","[911-1112] Lincolnshire Inquest UTF8.txt","Lucy de Farford","char-offset:1333","PERSON","","","","","","","","",""
"47885cbc-6680-4591-8ca7-299005934839","[911-1112] Lincolnshire Inquest UTF8.txt","Robert","char-offset:1350","PERSON","","","","","","","","",""
"1d340b18-ff3e-4f26-9c19-ebda1453cc7b","[911-1112] Lincolnshire Inquest UTF8.txt","921 The same Gilbert on 13 April 1337 at Wrangle unjustly took 40s from John son of Roger de Wrangle.","char-offset:1389","EVENT","","","","","","","","",""
"4d912e4f-70ab-402c-9256-5e231f89f404","[911-1112] Lincolnshire Inquest UTF8.txt","Gilbert","char-offset:1402","PERSON","","","","","","","","",""
"9fdbed46-2004-4ac3-b6b1-8eac4e22a2a6","[911-1112] Lincolnshire Inquest UTF8.txt","Wrangle","char-offset:1430","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"93ce1232-0263-42bf-ab48-95733802c17b","[911-1112] Lincolnshire Inquest UTF8.txt","John son of Roger de Wrangle","char-offset:1461","PERSON","","","","","","","","",""
"d92884e5-d163-40c9-b825-c9aa97e349b2","[911-1112] Lincolnshire Inquest UTF8.txt","922 The same Gilbert, sheriff, on 25 July 1338 at Wrangle unjustly took 62s 7d from Thomas son of Geoffrey de Wrangle, Matthew Bernard and Ralph Haliday of Wrangle.","char-offset:1491","EVENT","","","","","","","","",""
"490344e5-97ff-4fa6-8cb7-55a074cb1cb7","[911-1112] Lincolnshire Inquest UTF8.txt","Gilbert","char-offset:1504","PERSON","","","","","","","","",""
"7db7fcca-b745-4b89-aa8e-532ec05a6a80","[911-1112] Lincolnshire Inquest UTF8.txt","Wrangle","char-offset:1541","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"cf8324b7-345d-492d-94d3-26eff67dd99d","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas son of Geoffrey de Wrangle","char-offset:1575","PERSON","","","","","","","","",""
"482e82bf-c565-4315-bebe-e6bb09e13178","[911-1112] Lincolnshire Inquest UTF8.txt","Matthew Bernard","char-offset:1610","PERSON","","","","","","","","",""
"6297dfe9-9f16-4af0-aa28-fa8cd5326428","[911-1112] Lincolnshire Inquest UTF8.txt","Ralph Haliday","char-offset:1630","PERSON","","","","","","","","",""
"6fa9a028-ccd4-4edb-947b-33faa4579c3d","[911-1112] Lincolnshire Inquest UTF8.txt","Wrangle","char-offset:1647","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"1f2c47c9-eb8e-4b82-912a-360700916849","[911-1112] Lincolnshire Inquest UTF8.txt","923 Henry de Tichewell of Stamford and Thomas de Bameby of Grantham, wool receivers, on 17 Aug. 1338 at Boston took 14 stones of wool (3s a stone) more than the assessment [of wool] from the vill of Wrangle.","char-offset:1656","EVENT","","","","","","","","",""
"9da0ec8d-9a26-430a-adb6-f5eb0b790333","[911-1112] Lincolnshire Inquest UTF8.txt","Henry de Tichewell","char-offset:1660","PERSON","","","","","","","","",""
"73cb53d2-d0b7-4596-aa68-5abdfea8bb6a","[911-1112] Lincolnshire Inquest UTF8.txt","Stamford","char-offset:1682","PLACE","http://sws.geonames.org/4843564","Stamford","","41.05343","-73.53873","","UNVERIFIED","",""
"380614d4-20cb-429f-9305-4e16af0db1b9","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas de Bameby","char-offset:1695","PERSON","","","","","","","","",""
"374185a8-83c5-4d1c-9158-b7f0fc3d4e89","[911-1112] Lincolnshire Inquest UTF8.txt","Grantham","char-offset:1715","PLACE","http://sws.geonames.org/2648208","Grantham","","52.91149","-0.64184","","VERIFIED","",""
"d1bbebd8-f3cc-4d3b-afff-ee61c5a052c6","[911-1112] Lincolnshire Inquest UTF8.txt","Boston","char-offset:1760","PLACE","http://sws.geonames.org/1723862","Boston","","7.87111","126.36417","","UNVERIFIED","",""
"4b9ec083-4729-4ec2-a865-69fa623bb7a3","[911-1112] Lincolnshire Inquest UTF8.txt","Wrangle","char-offset:1855","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"3868288b-5578-4b91-be2f-eefec0d50e75","[911-1112] Lincolnshire Inquest UTF8.txt","924 Ralph son of Geoffrey de Waynflet, deputy of Thomas de Dunstapel, victualler, on 8 Sept. 1337 received 80 quarters of salt from the vill of Wrangle.","char-offset:1864","EVENT","","","","","","","","",""
"2a5df3b1-e1ea-4308-9594-4279191fe3b3","[911-1112] Lincolnshire Inquest UTF8.txt","Ralph","char-offset:1868","PERSON","","","","","","","","",""
"d34ad595-7ec7-4be1-a407-9a23932904c8","[911-1112] Lincolnshire Inquest UTF8.txt","Geoffrey de Waynflet","char-offset:1881","PERSON","","","","","","","","",""
"206e9b00-d3e4-4c5f-a91f-60c61645fd7d","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas de Dunstapel","char-offset:1913","PERSON","","","","","","","","",""
"5587925f-1148-45e1-9988-5bdac4d95f53","[911-1112] Lincolnshire Inquest UTF8.txt","Wrangle","char-offset:2008","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"a62c9417-4a5f-4b1e-9477-99911ed4cc84","[911-1112] Lincolnshire Inquest UTF8.txt","925 Henry de Tichewell and Thomas de Bamby on 27 July 1338 extorted 9V2 stones of wool (4s a stone) more than the assessment [of wool] and 3s 4d from the vill of Leake.","char-offset:2033","EVENT","","","","","","","","",""
"e94d34b7-7933-499b-997b-ceea3cabbbf0","[911-1112] Lincolnshire Inquest UTF8.txt","Henry de Tichewell","char-offset:2037","PERSON","","","","","","","","",""
"83813820-d769-4030-9de1-f757268b5961","[911-1112] Lincolnshire Inquest UTF8.txt","Thomas de Bamby","char-offset:2060","PERSON","","","","","","","","",""
"56fdd9db-3458-4d22-8c81-d1889193a52d","[911-1112] Lincolnshire Inquest UTF8.txt","Leake","char-offset:2195","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"3f99d13b-ce63-4f7e-91f3-a4f36bccbbcf","[911-1112] Lincolnshire Inquest UTF8.txt","926 William Farceaux, wool collector in Skirbeck, in 12 Edward III took from the vill of Skirbeck 8 stones of wool more than he gave the wool receivers.","char-offset:2202","EVENT","","","","","","","","",""
"39b88986-f63d-4286-8bde-4df890b5f74e","[911-1112] Lincolnshire Inquest UTF8.txt","William Farceaux","char-offset:2206","PERSON","","","","","","","","",""
"938225e0-7132-4e96-a446-da4f3dc21e26","[911-1112] Lincolnshire Inquest UTF8.txt","Skirbeck","char-offset:2242","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"1335638e-74fc-43c4-9d11-ab5679d8140a","[911-1112] Lincolnshire Inquest UTF8.txt","Edward III","char-offset:2258","PERSON","","","","","","","","",""
"34d37105-e835-4af4-987e-350c156c8e45","[911-1112] Lincolnshire Inquest UTF8.txt","Skirbeck","char-offset:2291","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"85ea5c52-7d6c-4c7c-8c49-4f015c9cf0be","[911-1112] Lincolnshire Inquest UTF8.txt","927 John Croke of Fen on 16 Sept. 1336 at Fishtoft beat John Wyte and John son of Bryce de Cobeldyk and is a common malefactor and night wanderer.","char-offset:2355","EVENT","","","","","","","","",""
"33cb5d65-f6fa-4ecf-9685-8f583ae8ee28","[911-1112] Lincolnshire Inquest UTF8.txt","John Croke","char-offset:2359","PERSON","","","","","","","","",""
"882ec060-6d88-472a-80a8-209b563ecb88","[911-1112] Lincolnshire Inquest UTF8.txt","Fen","char-offset:2373","PLACE","","","","","","","NOT_IDENTIFIABLE","",""
"38c346a4-c768-47c0-acfb-20c4521c16d1","[911-1112] Lincolnshire Inquest UTF8.txt","Fishtoft","char-offset:2397","PLACE","","","","","","","UNVERIFIED","",""
"dc1b07a9-7c17-416a-9e9d-7511a09999b4","[911-1112] Lincolnshire Inquest UTF8.txt","John Wyte","char-offset:2411","PERSON","","","","","","","","",""
"2f5edc97-96f7-4882-b4fa-1bed63873aec","[911-1112] Lincolnshire Inquest UTF8.txt","John son of Bryce de Cobeldyk","char-offset:2425","PERSON","","","","","","","","",""
"07259946-3496-4346-a85e-b00d94972065","[911-1112] Lincolnshire Inquest UTF8.txt","928 Henry Tichewell and Thomas de Bameby, when they collected from wool receivers, took 3¥2 stones of wool more than the assessment [of wool] from the vill of Fishtoft.","char-offset:2502","EVENT","","","","","","","","",""
"bfcca6f4-2202-474e-a35e-c745dd5ea6c8","[911-1112] Lincolnshire Inquest UTF8.txt","Henry Tichewell","char-offset:2506","PERSON","","","","","","","","",""
